Domain,Activity / Skill,Level 0 (Bottom 50%),Level 1 (Top 25%),Level 2 (Top 5%),Level 3 (Top 0.1%),Your Level (0-3),Your Objective Metric
1. Biophysical & Kinetic Output,Running (Sprint - 100m),> 15.0s,< 13.5s,< 11.8s,< 10.5s,,
1. Biophysical & Kinetic Output,Running (Middle - 1km),> 5:30 min,< 4:00 min,< 3:15 min,< 2:40 min,,
1. Biophysical & Kinetic Output,Running (Endurance - Marathon),Cannot complete / > 5 hrs,< 4:00 hrs,< 3:00 hrs,< 2:20 hrs,,
1. Biophysical & Kinetic Output,Strength (Squat),< 1.0x Bodyweight,1.5x Bodyweight,2.25x Bodyweight,3.0x+ Bodyweight,,
1. Biophysical & Kinetic Output,Strength (Deadlift),< 0.8x Bodyweight,1.25x Bodyweight,2.0x Bodyweight,2.75x+ Bodyweight,,
1. Biophysical & Kinetic Output,Power (Vertical Jump),< 18 inches,24 inches,32 inches,40+ inches,,
1. Biophysical & Kinetic Output,Powerlifting Total,< Baseline Bodyweight,2.5x Bodyweight,4.0x Bodyweight,6.0x+ Bodyweight,,
1. Biophysical & Kinetic Output,Olympic Weightlifting,Cannot snatch,Snatch 0.75x BW,Snatch 1.25x BW,Snatch 1.75x+ BW,,
1. Biophysical & Kinetic Output,Swimming (100m Freestyle),> 2:30 min / Cannot swim,< 1:45 min,< 1:15 min,< 0:55 min,,
1. Biophysical & Kinetic Output,Freediving (Static Apnea),< 1:00 min,2:30 min,4:30 min,7:00+ min,,
1. Biophysical & Kinetic Output,Cycling (FTP),< 2.0 W/kg,3.0 W/kg,4.0 W/kg,5.5+ W/kg,,
1. Biophysical & Kinetic Output,Rowing (2000m Erg),> 8:30 min,< 7:30 min,< 6:40 min,< 5:50 min,,
1. Biophysical & Kinetic Output,Gymnastics (Rings/Bars),Cannot hang,Support Hold (30s),Strict Muscle-Up,Iron Cross / Maltese,,
1. Biophysical & Kinetic Output,Climbing (Sport/Bouldering),< 5.8 / V0,5.10a / V4,5.12a / V8,5.14a+ / V13+,,
1. Biophysical & Kinetic Output,Combat (Grappling/BJJ),Untrained,Blue Belt,Black Belt,ADCC / World Medalist,,
1. Biophysical & Kinetic Output,Combat (Striking),Untrained,1+ Amateur Bout,Pro Undercard,Ranked Global Pro,,
1. Biophysical & Kinetic Output,Precision (Golf Handicap),> 28 (or doesn't play),< 15,< 5,+2 to +4 (Tour Pro),,
1. Biophysical & Kinetic Output,Mobility,Cannot touch toes,Palms flat on floor,Full Front/Side Splits,Elite Contortion/Gymnastics,,
2. Mechanical & Spatial Manipulation,Precision Driving,Standard commuter,Track day novice,Podium in amateur spec,FIA Super License (F1/WRC),,
2. Mechanical & Spatial Manipulation,Aviation / Piloting,Passenger,Solo flight (Student),PPL / Instrument Rated,ATP / Military Fast Jet,,
2. Mechanical & Spatial Manipulation,Marksmanship (Rifle),Cannot group shots,2 MOA at 100 yards,1 MOA at 500 yards,Sub-0.5 MOA at 1000+ yards,,
2. Mechanical & Spatial Manipulation,Physical Security Override,Loses keys / Lockout,Pick standard pin-tumbler,Bypass high-security,Penetration Tester (Red Team),,
2. Mechanical & Spatial Manipulation,Fabrication / Welding,Cannot weld,Basic MIG (Farm weld),TIG (Structural/Auto),Aerospace/Nuclear spec,,
2. Mechanical & Spatial Manipulation,UAS Piloting (FPV Drone),Cannot hover,Basic line-of-sight flight,Acro-mode racing,Tier 1 Drone Racing League,,
3. Survival & Environmental Adaptation,Wilderness Navigation,Relies on GPS entirely,Map & Compass proficient,Celestial / Topo mastery,Trans-continental unguided,,
3. Survival & Environmental Adaptation,Firecraft,Needs lighter/fluid,Bow drill in dry conditions,Friction fire in wet,Survives prolonged arctic/jungle,,
3. Survival & Environmental Adaptation,Caloric Procurement,Supermarket dependent,Basic fishing / Foraging,Big Game Hunter,Indigenous-level tracking/trapping,,
3. Survival & Environmental Adaptation,Thermal Tolerance,Fails at extreme weather,Sauna (15m) / Ice Bath (2m),Wim Hof / Altitude base,Summits 8000m peaks unassisted,,
3. Survival & Environmental Adaptation,Trauma Care (TCCC),Panics at sight of blood,Basic CPR / First Aid,Combat Lifesaver / EMT,Field Surgeon / Tier 1 Medic,,
3. Survival & Environmental Adaptation,Water Procurement,Tap dependent,Basic filtration / Boiling,Distillation / Chemical,Desert subsurface extraction,,
4. Cognitive & Computational Capacity,Standardized Logic (IQ/LSAT),Below average / < 150,Top quartile / > 160,> 170,> 178 (Perfect/Near-perfect),,
4. Cognitive & Computational Capacity,Mathematics,Struggles with Algebra,Multivariable Calculus,Differential Eq,Original Proofs / Putnam Fellow,,
4. Cognitive & Computational Capacity,Chess / Go (ELO/Rank),Chess < 800 / Go > 15k,Chess 1200 / Go 5k,Chess 1900 / Go 1d,Chess 2400+ / Go 7d+,,
4. Cognitive & Computational Capacity,Working Memory (Digit Span),< 6 digits forward,8 digits forward,10 digits forward,14+ digits forward,,
4. Cognitive & Computational Capacity,Memory (Deck of Cards),Cannot memorize,Memorize in 5 mins,Memorize in 2 mins,Memorize in < 20 seconds,,
4. Cognitive & Computational Capacity,Mental Arithmetic,Needs calculator,3-digit addition/sub,3x3 digit multiplication,Calendrical / Prime calculations,,
4. Cognitive & Computational Capacity,Speed Reading (w/ Retention),< 250 WPM (Subvocal),500 WPM (70% comp),1000 WPM (80% comp),2000+ WPM (Photographic),,
4. Cognitive & Computational Capacity,Cryptography / Puzzles,Struggles with Sudoku,Solves basic ciphers,CTF Crypto winner,Defeats military-grade encryption,,
5. Technical & Engineering Mastery,Software Engineering,No coding ability,Scripting (Python/Bash),Deploy Full-Stack App,Core Contributor to Major OS,,
5. Technical & Engineering Mastery,Data / AI Architecture,Basic Excel formulas,SQL / Basic ML Models,Build Custom Neural Nets,Designing SOTA Foundational Models,,
5. Technical & Engineering Mastery,Hardware / Mechanical,Cannot change a tire,Build PC / Basic Machining,Design/Fabricate Engine,Aerospace/Robotics Lead Engineer,,
5. Technical & Engineering Mastery,Hard Sciences (Physics/Chem),High school baseline,Undergrad lab competence,Published Peer-Review,Paradigm-shifting citations,,
5. Technical & Engineering Mastery,Cybersecurity (CTF),Clicked a phishing link,TryHackMe top 20%,DEF CON Finalist,Global Top 10 Red Team,,
5. Technical & Engineering Mastery,CAD / 3D Modeling,Cannot use software,Print basic STL files,Parametric assembly,Designs F1 Aerodynamics/Engines,,
5. Technical & Engineering Mastery,Robotics / Automation,Buys consumer tech,Arduino/Raspberry Pi,Autonomous drone flight,Designs Boston Dynamics level,,
5. Technical & Engineering Mastery,Blockchain/Smart Contracts,Buys crypto on exchange,Deploys basic ERC-20,Audits complex DeFi,Core protocol architect (L1),,
6. Financial & Capital Allocation,Net Worth Velocity,dW/dt <= 0,Outpaces inflation by 3%,Top 5% earner for age,Decamillionaire+ / Intergenerational,,
6. Financial & Capital Allocation,Investment Alpha,Underperforms inflation,Index Fund tracking (Beta),Consistently beats S&P,Institutional-grade Alpha / Quant,,
6. Financial & Capital Allocation,Trading (Sharpe Ratio),Loses capital,Sharpe 1.0 (Market Avg),Sharpe 2.0+,Renaissance Medallion level,,
6. Financial & Capital Allocation,Capital Raising,Cannot secure bank loan,Raised $100k+ (Angel),Raised $5M+ (Series A),Raised $100M+ (Institutional),,
6. Financial & Capital Allocation,Business Generation (ARR),Employee (W2 only),$100k Solo ARR,$5M+ Bootstrapped ARR,Unicorn Founder ($1B+ Val),,
6. Financial & Capital Allocation,Real Estate Portfolio,Renter / Single Home,2-5 Rental Doors,$10M+ AUM / Syndication,Institutional RE Tycoon,,
7. Operational & Systems Architecture,Project / Team Scale,Struggles to manage self,Managing 3-5 person team,Managing $1M+ Dept,Directing Multi-national Ecosystems,,
7. Operational & Systems Architecture,Process Automation,Fully manual workflows,Basic triggers (Zapier),Custom API Integrations,Zero-touch autonomous enterprises,,
7. Operational & Systems Architecture,Disaster Recovery (RTO),Business fails,Days to recover data,Hours to recover,Zero-downtime / Chaos Engineering,,
7. Operational & Systems Architecture,Event Scale Management,Hosts dinner party,Manages 500-person event,Manages 10,000+ festival,Directs Olympic-scale logistics,,
7. Operational & Systems Architecture,Supply Chain / Logistics,Pays retail markup,Wholesaler negotiation,Global freight/customs,Global multi-node supply chain,,
7. Operational & Systems Architecture,Talent Acquisition (Hiring),Fills seats with warm bodies,Hires competent mid-level,Headhunts top 5% executives,Assembles billion-dollar tier teams,,
8. Social & Influence Capital,Network Reach,< 500 connections,5,000+ organic reach,100,000+ engaged,Global thought leader (Millions),,
8. Social & Influence Capital,Algorithmic Virality,< 100 views/post,Consistent 10k+ views,Multiple 1M+ views,Controls global narrative shifts,,
8. Social & Influence Capital,Public Speaking,Severe anxiety/Avoidance,Confident 50-person pitch,Keynote at major event,TED Mainstage / Global Broadcast,,
8. Social & Influence Capital,Negotiation (Deal Size),MSRP consumer,Closed $50k B2B/B2C deal,Closed $1M+ contract,Orchestrated $100M+ M&A,,
8. Social & Influence Capital,Political/Social Capital,Does not vote,Local community leader,Influences state law,Head of State / Global Policy,,
8. Social & Influence Capital,Dispute Resolution,Escalates to anger/lawsuit,De-escalates personal,Corporate Arbitrator,International Hostage Negotiator,,
9. Artistic & Sensory Fidelity,Music (Instrumental),Cannot play an instrument,Grade 3 (Basic Chords),Grade 8 (Advanced),Concert Soloist / Virtuoso,,
9. Artistic & Sensory Fidelity,Audio Engineering,Listens on AirPods,Mixes local band demo,Platinum record mastering,Grammy-winning Producer,,
9. Artistic & Sensory Fidelity,Culinary Arts,Burns water / Microwave,3-course dinner party,Michelin-level execution,Michelin-starred Chef / Innovator,,
9. Artistic & Sensory Fidelity,Visual Arts (Drawing/Art),Stick figures,Accurate proportions,Hyper-realism / Gallery,Globally recognized unique style,,
9. Artistic & Sensory Fidelity,Photography / Cinema,Smartphone auto-mode,Manual exposure mastery,Sundance / Magnum pub,Oscar Winner / Generational eye,,
9. Artistic & Sensory Fidelity,Written Rhetoric,Poor grammar/syntax,Published article/blog,Bestselling Book,Pulitzer / Generational impact,,
9. Artistic & Sensory Fidelity,Dance / Somatic Art,Off-beat/Stiff,Competent social dancer,Professional company,Prima Ballerina / Global Choreo,,
10. Metacognitive & Strategic (Game Theory),Skill Acquisition Rate,Years to learn basics,6 months to L1,1 month to L1,< 1 week to L1 (Pattern mapping),,
10. Metacognitive & Strategic (Game Theory),Prediction (Brier Score),Worse than random,0.20 (Avg Forecaster),0.10 (Superforecaster),0.01 (Near-perfect calibration),,
10. Metacognitive & Strategic (Game Theory),Crisis Execution,Panic / Complete freeze,Performance degrades <20%,Baseline maintained,Performance increases under threat,,
10. Metacognitive & Strategic (Game Theory),Poker (No-Limit Hold'em),Loses to rake,Winning micro-stakes,$50/hr+ win rate,WSOP Bracelet / High Roller,,
10. Metacognitive & Strategic (Game Theory),E-Sports (RTS/MOBA),Casual/Bronze tier,Top 25% (Plat/Diamond),Top 1% (GM/Immortal),Tier 1 Touring Professional,,
10. Metacognitive & Strategic (Game Theory),Strategy Board Games,Loses at Monopoly,Wins local Catan,Regional Champion,Global World Champion,,
10. Metacognitive & Strategic (Game Theory),Zero-Sum Tournament,Eliminated round 1,Top 25% local finish,Top 5% regional finish,National/World Champion,,
11. Psychological & Emotional Regulation,Biofeedback (Heart Rate),Cannot control spikes,Consciously lower by 10%,Drop 30% via Meditation,Conscious control of core temp,,
11. Psychological & Emotional Regulation,Sleep Architecture,Insomniac / Needs pills,7hrs / 15% Deep sleep,8hrs / 25%+ Deep/REM,Polyphasic mastery without decay,,
11. Psychological & Emotional Regulation,Isolation Tolerance,Anxious alone for 24h,1-week solo camping,30-day silent retreat,Prolonged solitary confinement,,
11. Psychological & Emotional Regulation,Pain Tolerance (Cold),Removes hand < 30s,Sustains 2 minutes,Sustains 5 minutes,Conscious dissociation / Max limit,,
11. Psychological & Emotional Regulation,Pressure Resistance,Crumbles under mild Qs,Maintains narrative,SERE School Graduate,Defeats polygraph/chemical limits,,
12. Linguistic & Information Transfer,Languages Spoken,1 (Monolingual),2 (B1+ Conversational),3-4 (C1 Fluent),5+ (C2 Native/Literary),,
12. Linguistic & Information Transfer,Simultaneous Translation,Needs translation app,Fluent bilingual shift,UN-level real-time,4+ languages real-time synthesis,,
12. Linguistic & Information Transfer,Persuasive Copywriting,Boring emails,Converts at 2% (Avg),Converts at 10%+,Generates $100M+ in written sales,,
12. Linguistic & Information Transfer,Debate / Rhetoric,Ad hominem attacks,High school debate team,Oxford Union debater,Alters historical paradigms,,
12. Linguistic & Information Transfer,Data Input (Typing),< 40 WPM (Hunt & peck),80 WPM (Touch typing),130 WPM (Top tier),200+ WPM / Professional Stenography,,
12. Linguistic & Information Transfer,Non-Verbal Decoding,Oblivious to micro-cues,Reads obvious posture,Active interrogation prep,Paul Ekman predictive profiling,,
